ID,Label,Feature type,Description
NCG11559,Pea Island National Waterfowl Refuge,Reserve,"a national wildlife refuge covering all of Pea Island and the N end of Hatteras Island to Rodanthe, E Dare County. Federally funded in 1938 as a winter preserve for migratory birds. Formerly known as Pea Island Migratory Waterfowl Refuge."
NCG11575,Peacock's Bridge,Transportation,"SE Wilson County over Contentnea Creek approx. 1½ mi. SE of Stantonsburg. A bridge existed there by 1751 and is shown on the Price map, 1808, and on the MacRae map, 1833. There Lt. Col. Banastre Tarleton's British dragoons and Col. James Gorham's militia engaged in a skirmish, May 1781. Known for a time as Ruffin's Bridge."
NCG11582,"Peak, The",Mountain feature,"SW Mitchell County between Crabtree Creek and North Toe River. Alt. 3,866."
NCG11612,Peggy Peak,Mountain feature,SW Buncombe County at the E end of Smathers View Mountain.
NCG11618,Pelham Precinct,Precinct,"appears on the Wimble map, 1738, between the Cape Fear and the Northeast Cape Fear Rivers at approx. what is now Pender County. Wimble's map was dedicated to Thomas Hollis Pelham, Duke of Newcastle (1693-1768), secretary of state for the Southern Department. Pelham County appears at the same location on the Mouzon map, 1775. Since there appears to be no reference to such a precinct or county in the records of North Carolina, it is possible that Wimble was simply flattering his patron and that Mouzon followed Wimble's map in making his own."
NCG11645,Pennys Hill,Sand hill,"a large sand hill at the present community of Seagull on Currituck Banks, E Currituck County; has been a landmark locally since the early eighteenth century."
NCG11751,Piedmont,Region,"or extends from the Fall Line, which see, on the E to the Blue Ridge Mountains on the w. In elevation, the area ranges from approx. 500 ft. above sea level on the E to 1,500 ft. on the w. Rolling hills and stiff clay soil are characteristic of the Piedmont. The Indians knew the region as Tar-ko-ee (Catawba Land; Under Hills)."
NCG11753,Piedmont Crescent,Region,"is an extended area in the Piedmont section of the state from Wake County on the E through Durham, Orange, Alamance, Guilford, Randolph, Forsyth, Davidson, Rowan, Cabarrus, Mecklenburg, Gaston, and Lincoln Counties. It follows route of Interstate 85 and includes rapidly growing urban and industrial areas, most of which had their beginning along the route of the North Carolina Railroad."
NCG11756,Piedmont Triad,Region,"a term used for the Greensboro, High Point, Winston-Salem area."
NCG11767,Pigeon Ledge,Mountain feature,on the Haywood-Buncombe county line.
NCG11772,Pigpen Bluff,Mountain feature,NE Yancey County at the S end of Green Mountain.
NCG11775,Pigpen Flats,Area,SE Swain County on the head of Connelly Creek.
NCG11797,Pilot Rock,Rock,N Transylvania County between Dividing Ridge and Pilot Cove.
NCG11819,Pine Hammock,Island,a tidal-marsh island approx. 1¼ mi. long in N Pamlico County.
NCG11876,Piney Grove Landing,Transportation,"on Pungo River, E Beaufort County."
NCG11894,Pink Beds,Area,"plateau area in N Transylvania County in Pisgah National Forest. Used extensively as a recreation area. Name comes from the color of rhododendron that once covered the area. Alt. 3,280."
NCG11917,Pinson,Area,SW Randolph County.
NCG11921,Piper Hill,Sand hill,"SE Currituck County, former sand hill on S Currituck Banks. Erosion has now worn the hill down to beach level."
NCG11952,Plank Ford,Transportation,N Union County across Rocky River.
NCG11955,Play Rock Hill,Elevation,elevation in S Henderson County on Mud Creek.
NCG11976,Pledger Landing,Transportation,N Tyrrell County on Albemarle Sound E of Lewis Point.
NCG12006,Point Bacon,Area,"appears on the Smith map, 1624, as the N portion of present Currituck Banks in E Currituck County. It was shown as extending S from Cape Henry, Va., to Currituck Inlet. Undoubtedly named for Sir Francis Bacon, whose favor Smith sought to win."
NCG12008,Point Corbett,Area,"appears on the Smith map, 1624, as the area of NE North Carolina presently included in Camden and Currituck Counties."
NCG12011,Point Hezel,Area,"appears on the Collet map, 1770, as a point of land in SE New Hanover County between Hewlets and Bradley Creeks on the mainland W of modern Wrightsville Beach. Probably named for James Hasell (d. 1786), chief justice of the colony."
NCG12012,Point Lookout,Mountain feature,"E Haywood County on Glade Mountain. Alt. approx. 4,530."
NCG12015,Point of Grass,Elevation,NW point of Cedar Island in NE Carteret County between West Bay and Pamlico Sound.
NCG12019,Point Peter,Freshwater area,"point of land extending into Cape Fear River at its junction with Northeast Cape Fear River opposite Wilmington, W New Hanover County. Before the Civil War, it was a terminal for river traffic to and from Fayetteville and Averasboro. Named for Peter Mallett (b. 1744), Revolutionary leader. See also Peters Point."
NCG12020,Point Prospect,Elevation,"S Orange County in the town of Chapel Hill about ½ mi. E of the University of North Carolina campus, a very high ridge below which, as William R. Davie wrote in 1793, ""the flat country spreads off… like the ocean, giving an immense hemisphere, in which the eye seems to be lost in the extent of space."" The peak was owned by the university until 1894, when the U.S. Circuit Court ordered it to be sold to pay university debts. Sometimes known as Piney Prospect for the pines in the vicinity and because Point was often pronounced ""pint,"" which evolved into Piney. Site of Gimghoul Castle."
NCG12091,Pop Castle,Business or business district,"W Vance County approx. 1 mi. W of the town of Kittrell. Popecastle Inn was est. there approx. 1734, and local usage changed the name to Pop Castle. Racetrack, cockpit, and tavern were adjuncts of the inn; use of the racetrack began during the Revolution, and the main building of the inn was dismantled after the Civil War."
NCG12128,Port Grenvil,Waterway,"appears on the White map, 1590, as an inlet through Ocracoke Island a short distance N of the community of Ocracoke, SE Hyde County. Named for Sir Richard Grenville. Appears as ""Greenevills Rode"" on the Smith map, 1624. There is some doubt that such an inlet actually existed, though it may have been at what is now known as Nigh Inlet, which see."
NCG12130,Port Lane,Waterway,"an inlet from the Atlantic Ocean into Roanoke Sound through Bodie Island opposite the SE shore of Roanoke Island, E Dare County. Opened prior to 1585 and closed prior to 1657."
NCG12138,Portia,Proposal,"was inc. as a town in McDowell County, 1891; charter repealed 1893. It apparently was never laid out, and the proposed site is unknown."
NCG12141,Portsmouth,Populated place,formerly a thriving town in NE Carteret County at the tip of Core Banks. Settled in the early 1700s; est. 1753 and probably named for the city in England. Long inactive in municipal affairs. Alt. 8. See also Portsmouth Island.
NCG12162,Potato Hill,Hill,"on Jackson Line Mountain in S central Swain County between the head of Laurel Branch and the head of Davis Branch. Alt. 3,306."
NCG12210,Poyner Hill,Sand hill,"formerly a sand hill on S Currituck Banks, E Currituck County. Erosion has almost obliterated the hill. During World War II, a temporary Coast Guard base was located there."
NCG12329,P[ort] Box,Seawater area,"appears on the Smith map, 1624, in Pamlico Sound, but the feature for which this name is intended is uncertain."
NCG12330,P[ort] Vaughn,Seawater area,"appears on the Smith map, 1624, in Pamlico Sound, but the feature for which this name is intended is uncertain."
NCG12336,Quaker Meadows,Area,"a grassy region in W central Burke County 1 mi. NW of Morganton, lying between Canoe and Upper Creeks. Settled as early as 1752; appears on the Collet map, 1770. A frontier rendezvous, it was the home of Joseph and Charles McDowell, officers at the Battle of Kings Mountain (1780) and later public leaders. Zebulon B. Vance and his first wife, Harriet Espy, were married there."
NCG12341,Qualla Boundary,Native American settlement,"home of the Eastern Band of Cherokee Indians in Swain, Jackson, and Haywood Counties in Great Smoky Mountains. Est. by the United States after the Cherokee removal of 1838. Covers 63,000 acres and is the largest Indian reservation E of the Mississippi. The reservation is divided into Big Cove Town, Wolf Town, Yellow Hill Town, Paint Town, and Bird Town townships. In addition, a number of Cherokees living off the reservation in Cheoah Township, Graham County, are under tribal jurisdiction. Land is held in common and assigned on a tenant system."
NCG12395,Raccoon Key,Island,an island in Pamlico Sound in N end of Carteret County.
NCG12419,Rainbow Banks,Shore,"steep bank of the Roanoke River, N Martin County between Poplar Point on the E and Hamilton on the w. Mentioned in an act of the General Assembly in 1729 and appears on the Collet map, 1770."
NCG12483,Rattler Ford,Transportation,across Santeetlah Creek in W Graham County.
NCG12495,Raven Cliffs,Mountain feature,on the Avery-Mitchell county line.
NCG12504,Raven Rock,Rock,NE Swain County at the S end of Hyatt Ridge between Raven Fork and Straight Fork.
NCG12548,Rector Butte,Mountain feature,W Madison County near the head of Rector Branch.
NCG12599,Redmans Old Field,Area,"appears on the Collet map, 1770, as open ground on the N side of Cokey Swamp, which see, W central Edgecombe County S of Tarboro."
NCG12616,Reeds Hammock,Island,"an island in Pamlico River, SE Beaufort County; approx. ½ mi. long and 2/10 mi. wide. See also The Ditch."
NCG12644,Regal Station,Transportation,a stop on the Southern Railway in central Cherokee County.
NCG12669,Research Triangle Park,Business or business district,"a 5,000-acre tract in SE Durham and W Wake Counties. Industrial and governmental research facilities operate there in a campus-like setting. Years of planning preceded opening of first businesses in 1959. Prospects boosted by est. of IBM facility in 1964. Duke University, the University of North Carolina, and North Carolina State University loaned startup expertise and give continuing support. Success of park has made it a national and international model."
NCG12717,Rice Path,Populated place,"site of early settlement on E end of Bogue Banks in S Carteret County. A vessel, laden with a cargo of rice, went aground there at one time. The people on the sound side made a path across the banks to the ocean side to get the rice, and so they called it Rice Path. Storms drove out early settlers until settlement of Salter Path, which see."
NCG12718,Rice Pinnacle,Mountain feature,S Buncombe County at the N end of Stradley Mountain.
NCG12727,Rich Hammock,Area,"a name applied on the Moseley map, 1733, to a neck of land (apparently especially suitable for cultivation) extending into North River, S Carteret County E of present town of Beaufort."
NCG12746,Richards Mill,Mill,"on the Collet map, 1770, was located on a tributary of the Pasquotank River in what is now N Pasquotank County. The stream was located approx. 12 to 15 mi. NW of the present Knobbs Creek but has long since left its streambed to become a part of the surrounding marsh."
NCG12767,Richmond District,District,one of the districts into which Caswell County was divided at the time of the 1790 census. It contained 253 heads of families.
NCG12847,River Neck Landing,Transportation,NW Tyrrell County on the E side of mouth of Scuppernong River.
NCG12851,River View Community,Populated place,"SE Columbus County; formerly known as Crusoe Island. Renamed by resolution of the General Assembly, 1961. A marshy and sandy section between the Waccamaw River and the Columbus-Brunswick county line, it lies on the edge of Green Swamp, which see. It was named Crusoe Island by outsiders because of its isolation. French political refugees, who first settled in Haiti, are said to have arrived there in 1806; their descendants still live there. Roads now penetrate the area."
NCG12861,Roan High Bluff,Mountain feature,"NE Mitchell County on Roan Mountain. Alt. 6,267."
NCG12865,Roan Valley,Valley,parallel to Fall Creek in E Mitchell County.
NCG12952,Rock Landing,Transportation,"formerly a landing and supply point on Roanoke River in N Halifax County constructed before 1818 for the purpose of landing stone and building supplies to be used in the construction of Roanoke Canal, which see."
NCG12980,"Rocks, The",Seawater area,"a great seawall constructed by the U.S. government, 1879-85, to close off New Inlet between the Atlantic Ocean and the Cape Fear River in S New Hanover County."
NCG12998,Rocky Face,Mountain feature,"N Jackson County between Rocky Face Branch and Cane Creek. Alt. approx. 3,575."
NCG13020,Rocky Knobs,Mountain feature,"two knobs S of Horsepasture River, SW Transylvania County."
NCG13138,Round Hill,Hill,W central Swain County near the head of Greasy Branch.
NCG13167,Rowsypock,Area,"area W of present town of Kill Devil Hills, E of Little Colington Island in E Dare County."
NCG13176,Royal Oak,Point of interest,"appears on the Price map, 1808, and on the MacRae map, 1833, on the Jones-Onslow county line where a slight change in direction is made. Said to have been named after a British soldier was found hiding in the tree's top to spy on Americans; he was hanged from a limb of the tree. The decayed stump of the tree was removed about 1916 when the road from Richlands to Comfort was widened."
NCG13179,Royal Shoal,Shoal,"in Pamlico Sound in NE Carteret and SE Hyde Counties. Extends NW in an arc from Beacon Island and obstructs the passage through Ocracoke Inlet. Appears as Ryals Shoal on the Moseley map, 1733, but by its present name on the Collet map, 1770."
NCG13201,Run Hill,Sand hill,"sand hill in Kill Devil Hills, E Dare County."
NCG13245,S Curves,Transportation,"section of N.C. Highway 12 N of Rodanthe on Hatteras Island, E Dare County. Term adopted by N.C. Department of Transportation because of frequent need to repair damage due to washouts. Also called Rodanthe S Curves."
NCG13252,Saddleback,Mountain feature,"ridge in NW Swain County in Great Smoky Mountains National Park between Roaring Creek and Desolation Branch. Its center is near lat. 35°33'26"" N., long. 83°40'48"" W."
NCG13258,Sage Path,Populated place,"site of early settlement on the E end of Bogue Banks, S Carteret County. Storms drove out early settlers until the settlement of Salter Path, which see."
NCG13280,Salisbury District,District,"at the time of the 1790 census, was composed of Guilford, Iredell, Mecklenburg, Montgomery, Rockingham, Rowan, Stokes, and Surry Counties."
NCG13282,Salisbury West,Populated place,"unincorporated outskirts of city of Salisbury, E central Rowan County."
NCG13301,Salters Lumps,Island,"two small islands in Brett Bay off Piney Point, NE Carteret County."
NCG13327,Sampson's Chimney,Geological formation,"rock formation on Howard Knob, central Watauga County."
NCG13353,Sandhills,Region,"a series of rolling hills between the Cape Fear and Pee Dee Rivers covering portions of Richmond, Scotland, Moore, Cumberland, and Harnett Counties. Includes approx. 1,110 sq. mi. The surrounding area is approx. 600 ft. above sea level, but, within the Sandhills, there are ridges rising 300 to 400 ft. higher. Little River, Drowning Creek, and Rockfish Creek are the principal streams. Coarse sandy soil is characteristic of the area. The Basset map, 1676, marks the area ""Deserta Arenosa."" It has also been called Deserta Montana, Sandy Barrens, Pine Barrens, and the Sahara of North Carolina. William Hooper, in a letter of June 15, 1779, to James Iredell, used the term sandhills. The climate of the region has been classed as ""Humid Subtropical,"" and it has an average annual temperature of approx. 61.5°. The area was settled by Scottish Highlanders beginning about 1740. They found the region covered by a stand of longleaf pines ranging in height from 100 to 120 ft. and with diameters up to 36 inches. Beneath the pines, wire grass covered the ground. Most of the pines were cut between 1875 and 1895 (for an exception, see Weymouth Woods Sandhills Nature Preserve), and the region is now covered with smaller longleaf pines, scrub oak (chiefly Turkey and Black Jack), and wire grass. Extensive peach orchards have flourished in the Sandhills since 1892. The resort towns of Pinehurst and Southern Pines, which see, have developed there."
NCG13373,Sandy Landing,Transportation,SE Beaufort County on the W side of South Creek.
NCG13398,Santeetlah Wildlife Management Area,Reserve,"in W Graham County. 37,168 acres, operated by the state of North Carolina on U.S. Forest Service lands. Principal wildlife: bear, boar, deer, raccoon, and trout."
NCG13404,Sapphire Country,Business or business district,"a descriptive name applied to the area around Fairfield, Sapphire, and Toxaway Lakes in S Jackson and W Transylvania Counties. It probably came into use in commercial promotion for Mountain Lodge, Fairfield Inn, and Sapphire Inn about 1898. Name derived from the blue of the mountains as well as sapphire gems found in the area."
NCG13410,Sarecta,Populated place,"area in central Duplin County on Northeast Cape Fear River. Settled about 1736 under the direction of Henry McCulloch of London. Est. 1787 as Sarecto; long inactive in municipal affairs. Alt. 67. Named for Soracte Mountain in Italy, near Rome, on which a temple to Apollo stood in ancient times. Often referred to as Soracte in colonial records. Served by post office, 1830-1903."
NCG13471,"Sawteeth, The",Mountain feature,"broken, pointed summits along the Swain County, N.C.-Sevier County, Tenn., line in Great Smoky Mountains National Park near lat. 35°38'30"" N., long. 83°21'50"" W. Alt. approx. 5,450."
NCG13475,Sawyers Ferry,Transportation,"appears on the Moseley map, 1733, on Pasquotank River in what is now Camden County N of Sawyers Creek. Site was in Pasquotank Precinct of Albemarle County. Later Shipyard Ferry operated nearby. See also Shipyard."
NCG13476,Sawyers Landing,Transportation,E Beaufort County on Pungo River.
NCG13498,Schoolhouse Flats,Area,E Haywood County on Glade Mountain.
NCG13567,Second Creek Bluff,Elevation,at the mouth of Second Creek in E Tyrrell County.
NCG13612,Seven Creeks,Creek,is formed in S Columbus County by Big Cypress Swamp and Monie Swamp. It flows SE into Waccamaw River.
NCG13613,Seven Devils,Business or business district,"commercially developed recreation area opened in 1966 in E Avery and W Watauga Counties on a 1,288-acre tract."
NCG13617,Seven Sisters,Sand hill,"sand hills a short distance S of Nags Head on Bodie Island, E Dare County."
NCG13631,Shackleford Banks,Shore,"one of the Outer Banks, SE Carteret County; approx. 8½ mi. long. Named for John Shackle ford, who, with Enoch Ward, purchased the ""Sea Banks"" in 1713. See also Cape Lookout National Seashore."
NCG13634,Shad Coye,Freshwater area,central Craven County in SE end of Hog Island adjacent to Neuse River. Approx. ¼ mi. wide.
NCG13646,Shaftesbury Precinct,Precinct,"was formed by 1668 as a division of Albemarle County. It was named for Anthony Ashley Cooper, Earl of Shaftesbury (1621-83), one of the original Lords Proprietors of Carolina. Renamed Chowan Precinct about 1681. See also Chowan County."
NCG13670,Shark Shoal,Shoal,"in the waters of Pamlico Sound N of Hatteras Inlet, S Dare County."
NCG13727,Shell Castle,Island,"NE Carteret County, an island in Pamlico Sound between Casey Island and North Rock near the tip of Portsmouth Island at Ocracoke Inlet. Built by John Gray Blount and John Wallace in 1790 on an earlier island known as Old Rock. At one time a dwelling house, a tavern, warehouses, a lumberyard, a wharf, and a notary public's office were there. Appears on the Price map, 1808."
NCG13753,Shephard Ditch,Depression,"NW Pasquotank County, drains NE into Pasquotank River."
NCG13804,Shining Rock Ledge,Mountain feature,"S Haywood County, extends N from Black Balsam Knob to Cold Mountain."
NCG13824,Shocco Springs,Business or business district,"former health resort in S Warren County on Shocco Creek. Located approx. 9 mi. S of Warrenton, it was popular in the nineteenth century as a social, recreational, and health resort built around mineral springs. Shocco Male Academy was located there. Neither is in existence any longer. Shocco Springs had a post office from 1832 until 1866 and was shown on the Price map, 1808."
NCG13853,Short Bunk,Mountain feature,ridge in W Haywood County between Conrad Branch and Coggins Branch.
NCG13864,Shoups Ford,Transportation,in S Burke County crosses Jacob Fork.
NCG13887,Sid Hill,Hill,N Yancey County between Peterson Branch and Whitson Branch.
NCG13891,Signal Pole Hill,Hill,"SW Cherokee County on SE end of Pack Mountain. Alt. 3,459."
NCG13938,Simmons Landing,Transportation,NW Tyrrell County on Scuppernong River.
NCG14016,Slick Rock,Elevation,"elevation in S Macon County between Stephens Creek and Gold Mine Branch. Alt. approx. 3,860."
NCG14032,Sloan,Reference,or See Stony Point.
NCG14040,"Slough, The",Waterway,"stream, rises in N Wayne County and flows E into Nahunta Swamp."
NCG14150,Snows Cut,Waterway,"canal in S New Hanover County approx. 1 3/5 mi. long, connects Myrtle Sound with Cape Fear River. It forms a part of the Intracoastal Waterway."
NCG14157,Soapstone Mount,Geological formation,"formerly a large pyrophyllite formation in NE Randolph County; for a number of years, the mineral was mined, crushed at nearby Staley, and shipped away for refining and use in talc products. A post office by the name operated there, 1851-1901."
NCG14200,South Belmont,Populated place,"unincorporated outskirts of city of Belmont, SE Gaston County."
NCG14214,South Fayetteville,Populated place,unincorporated outskirts of city of Fayetteville in central Cumberland County.
NCG14246,South Henderson,Populated place,unincorporated outskirts of city of Henderson in S central Vance County.
NCG14256,South Mountains Wildlife Management Area,Reserve,"in SE Burke County. 17,700 acres. Jointly owned by private interests and the town of Morganton. Est. 1952-53."
NCG14271,South Rocky Mount,Populated place,the S part of Rocky Mount in W Edgecombe County.
NCG14273,South Salisbury,Populated place,"unincorporated outskirts of city of Salisbury, E central Rowan County."
NCG14285,South Virginia,Region,"a name frequently applied from about 1612 to about 1663 to the area that subsequently became the County of Albemarle in the colony of Carolina. William Strachey's The Historie of Travell into Virginia Britannia (1612) contains a brief description of South Virginia. After the region began to be settled (ca. 1650), it was also referred to as the Southern Plantation. In 1662 Samuel Stephens was made commander of the Southern Plantation by the Virginia Council."
NCG14293,South Wilmington,Populated place,"unincorporated outskirts of the city of Wilmington, W New Hanover County on the Cape Fear River."
NCG14302,Southerne Virginia Sea,Seawater area,"appears on the Comberford map, 1657, as the area of the Atlantic Ocean off the Outer Banks of modern North Carolina, roughly between the coast and the Gulf Stream."
NCG14320,Spanish Oak Hill,Hill,SW Alamance County.
NCG14334,Speculation Land,Area,"massive tract in W Polk and E Henderson Counties acquired in 1790s by Speculation Land Company organized by Tench Coxe of Philadelphia. Some property remained unclaimed into the mid-twentieth century. In time, land was managed by Carolina Power Company (later Duke Power) and today is part of the Green River wildlife management area."
NCG14339,Spence Field,Area,"bald spot on the Swain County, N.C.-Sevier County, Tenn., line in Great Smoky Mountains National Park near lat. 35°33'48"" N., long. 83°43'58"" W. Alt. 4,886."
NCG14421,Spruce Pinnacle,Mountain feature,NE Buncombe County on Big Fork Ridge.
NCG14423,Spruills Bridge,Transportation,E Washington County SE of Creswell. First known as Samuel Spruills Landing; designated by the General Assembly in 1740 as a point for a warehouse for receipt and shipping of crown quitrents. Called Spruills Landing as late as 1812.
NCG14436,St. Asaph's District,District,one of the districts into which Orange County was divided at the time of the 1790 census. It contained 199 heads of families.
NCG14441,St. David's District,District,one of the districts into which Caswell County was divided at the time of the 1790 census. It contained 166 heads of families.
NCG14446,St. James District,District,one of the districts into which Caswell County was divided at the time of the 1790 census. It contained 111 heads of families.
NCG14452,St. Lawrence District,District,one of the districts into which Caswell County was divided at the time of the 1790 census. It contained 215 heads of families.
NCG14455,St. Lukes District,District,one of the districts into which Caswell County was divided at the time of the 1790 census. It contained 137 heads of families.
NCG14457,St. Mark's District,District,one of the districts into which Orange County was divided at the time of the 1790 census. It contained 138 heads of families.
NCG14460,St. Mary's District,District,one of the districts into which Orange County was divided at the time of the 1790 census. It contained 237 heads of families.
NCG14473,St. Thomas District,District,one of the districts into which Orange County was divided at the time of the 1790 census. It contained 139 heads of families.
NCG14509,Standing Indian Wildlife Management Area,Reserve,SE Clay County.
NCG14543,Starretts Meadows,Area,E Onslow County between the head of Wallace Creek and the head of Bear Creek.
NCG14622,Stice Dam,Dam,"on Broad River, S Cleveland County, provides power for mills in Shelby. Stice's Shoal community was served by post office, 1847-1902."
NCG14692,Stony Spur,Mountain feature,W Madison County between Little Bottom Branch and John Taylor Branch.
NCG14693,Stony Valley,Valley,in E Mitchell County between Bee Ridge and Middle Mountain.
NCG14713,"Straits, The",Seawater area,straits in the waters between North River and Core Sound in SE Carteret County between Harkers Island and the mainland.
NCG14723,Streets Ferry,Transportation,"est. over the Neuse River by Richard Graves before 1730; location was 7 mi. S of Vanceboro, central Craven County. Ceased operation, 1962."
NCG14731,Stuards Reach,Area,"appears on the Smith map, 1624, in what is now the Roanoke River between Halifax and Northampton Counties."
NCG14785,Sugarloaf Bluff,Elevation,"on Cape Fear River in central Bladen County. Probably named for the white, sandy beach across the river from the bluff. The river makes a 45° turn at the bluff."
NCG14795,Sugartree Licks,Point of interest,"on the Haywood-Swain county line in Great Smoky Mountains National Park on Balsam Mountain near lat. 35°33'23"" N., long. 83°09'28"" W. Alt. approx. 5,160. The name comes from the days of cattle ranging in the area and a salting place. Salt for cattle was spread on the roots of a sugar maple tree."
NCG14800,Suggs Landing,Transportation,"S Edgecombe County, on Tar River."
NCG14843,Sunset Rock,Rock,on Satulah Branch in SE Macon County.
NCG14890,Swannanoa Tunnel,Transportation,"on the Southern Railway, SE Buncombe County near Ridgecrest. Cut in 1879 at a cost of $600,000 and 120 lives, the tunnel marked the completion of a section of the railroad. An early use of nitroglycerine in engineering occurred there."
NCG14986,Tarawa Terrace,Populated place,"residential area of Camp Lejeune Marine Base, central Onslow County. Named for the Pacific Island on which a battle was fought against the Japanese, November 21-24, 1943."
NCG14990,Tare-over,Transportation,"SW Washington County, a bridge and straight stretch of the road from Plymouth to Leachville crossing the headwaters of Flat Swamp at the NE end of Van Swamp. The name appears on the Price map, 1808, and is thought to have originated as the name for the grassy, swampy depression that cuts into Long Acre, which see."
NCG14998,Tartt Path,Transportation,pre-Civil War path still in use in E central Wilson County. It runs N from the community of Sun to the vicinity of modern N.C. Highway 42 E of Wilson. Enos Tartt operated Tartt's Mill on Bear Branch in the mid-nineteenth century.
NCG15024,Taylors Ferry,Transportation,"operated across the Roanoke River between Bertie County and Martin County. Appears on the Collet map, 1770, and known to have been in operation as late as 1833."
NCG15100,Thermal Belt,Area,"(also called Isothermal Belt), verdant zone largely in Polk and Rutherford Counties—though to a lesser extent also in Caldwell, Mitchell, and other mountain counties—in which on certain cool nights, the temperature may be 20° or more higher on the slope of a mountain than at the base. In these areas, fruit growing is a successful undertaking, and at Tryon (Polk County) the thermal belt has contributed to resort prosperity. The thermal belt was first described by Silas McDowell in 1858."
NCG15115,Thomas Peak,Mountain feature,NW Jackson County between Camp Creek and Shoal Creek.
NCG15137,Thorofare,Waterway,channel in NE Carteret County connecting Thorofare Bay with West Thorofare Bay and forming the S boundary of Cedar Island.
NCG15140,Thoroughfare,Freshwater area,"portion of Pee Dee River flowing S of Youngs Island, N Anson County."
NCG15141,Thoroughfare,Waterway,"a waterway connecting Black River and Cape Fear River, SW Pender County."
NCG15152,Three Knobs,Mountain feature,on the McDowell-Yancey county line.
NCG15162,Thrift,Transportation,"railroad depot name for the Mecklenburg County community of Paw Creek, which see."
NCG15166,Thunder Hill,Hill,S Watauga County near the head of Groundhog Branch.
NCG15169,Thunderbolt Landing,Transportation,"on Cashie River, SE Bertie County."
NCG15185,Tidewater Area,Area,"a portion of the Coastal Plain, which see, from 30 to 80 mi. wide on the mainland side of the sounds in E North Carolina. Much of the area is swampland, known locally as ""dismals"" and ""pocosins."" There also are a number of natural lakes there, as well as many areas of savanna with a thick growth of grass and many wildflowers."
NCG15219,Titepano,Seawater area,"appears on White map, 1585, in what is now Currituck Sound, E Currituck County. The name may have applied to the sound and seems to have been tetep-anwi-wi (there is a swirling current; it swirls around)."
NCG15238,Tolar Landing,Transportation,"United States Lock Number 3, on Cape Fear River in NW Bladen County."
NCG15276,Tools Ford,Transportation,"former passage across Catawba River between Gaston and Mecklenburg Counties E of the present site of Mount Holly. Named for Matthew Tool, who had a grant of land in the vicinity in 1750. The ford was used by troops crossing the Catawba River during the Revolutionary War."
NCG15289,Tories Den,Geological formation,"cave beneath Moores Knob on Sauratown Mountain in Hanging Rock State Park, W Stokes County. Entrance 12 ft. high and 10 ft. wide; cave about 25 ft. deep. Said to have been occupied by a band of Tories during the Revolutionary War."
NCG15296,Tottering Bridge,Transportation,W central Washington County over Skinner Canal near the community of Basnight. Known by the name as early as 1868.
NCG15330,Trading Ford,Transportation,"former ford across the Yadkin River, Rowan and Davidson Counties. The E end of Big Island was one terminus of the ford. In 1701 John Lawson visited the site, which was on a trading path maintained by Indians across central North Carolina. Gen. Nathanael Greene's American army made a crossing there, February 1, 1781, when almost caught by Cornwallis. High water prevented the British from overtaking the exhausted Americans. A Confederate fort and earth-works nearby protected the railroad and a toll bridge during the Civil War."
NCG15331,Trading Path,Transportation,"a colonial trading route dating from the seventeenth century from Petersburg, Va., to the Catawba and Waxhaw Indians. One branch entered North Carolina in Granville County and another in Warren County. They converged near the present site of Oxford and followed a SW route through Granville, Durham, Orange, Alamance, Guilford, Randolph, Davidson, Rowan, and Cabarrus Counties. At about the present site of Concord, the road split, with a W branch leading through present Charlotte to the Catawba Indians. The E branch led almost directly S through Union County to the Waxhaw Indians. The Trading Path appears on the Collet map, 1770, and the Mouzon map, 1775."
NCG15366,Tri-Villages,Populated place,"term used by local residents of Hatteras Island, E Dare County, to refer to Rodanthe, Waves, and Salvo, three communities formerly known collectively as Chicamacomico."
NCG15368,Triangle,Region,term used for the Raleigh-Durham-Chapel Hill area. See also Research Triangle Park.
NCG15378,Trinity Harbor,Waterway,"a former inlet from the Atlantic Ocean into Albemarle Sound through North Banks S of the present community of Duck. It opened prior to 1585 and closed prior to 1657. Appears on the White map, 1590. The Smith map, 1624, labels it Worcester Inlet. Probably named because it was discovered on one of the Sundays after Trinity (either the 1st or 8th of August, 1585). The site is now in NE Dare County."
NCG15385,Trollinger's Crossing,Reference,or See Haw River.
NCG15392,Troublesome Creek Iron Works,Business or business district,"used during Revolutionary War. Built on Troublesome Creek, SW Rockingham County, by William Patrick, 1770. Nathanael Greene camped there, 1781; George Washington had breakfast there, June 3, 1791."
NCG15481,"Turkey Hole, The",Depression,"a deep slough on the E side of Contentnea Creek, E Greene County. So called from early times, probably from the abundance of wild turkeys in the vicinity."
NCG15490,Turkey Quarters,Area,"name applied to a portion of what is now Pender County by Barbadian explorers in 1663 because of the many turkeys killed there. Appears on the Ogilby map, 1671, but otherwise no longer used."
NCG15514,Turners Cut,Waterway,"an extension of the Dismal Swamp Canal, W Camden County, from near the canal's former mouth in the Pasquotank River to a point farther downstream, bypassing a very narrow section of the river. The Intra-coastal Waterway passes through Turners Cut."
NCG15551,Twin Knobs,Mountain feature,N Wilkes County between East Prong Roaring River and Little Sandy Creek.
