id,label,alternate_label,wikidata_id,loc_id,worldcat_id,viaf_id,description,feature_type,county,coordinates,creator,contributor,source
NCG10838,Nikwasi,ᏃᏈᏏᏱ|Nokwisiyi|Nockasee|Nequasi|Nequeesi|Nequasee|Nequassee|Nuquassee|Nucassee|Nucasse|Nukassee|Nuckasee|Nucuschee|Nookassie|Newcasee,,,,,"historic Cherokee Middle town on Little Tennessee River, central Macon County. Name means “star place.” Destroyed by James Grant's army in Anglo-Cherokee War and Griffith Rutherford's in the Cherokee War of 1776. Site is present-day Franklin.",nct:NativeAmericanSettlement,Macon County,"35.1849402408989, -83.3735328479001",Corinne Foster,,"Duncan and Riggs, Cherokee Heritage Trails Guidebook; Mooney, Myths of the Cherokee; Goodwin, Cherokees in Transition; Nikwasi Initiative"
,Nikwasi Mound,ᏃᏈᏏᏱ ᎦᏓᎤᎲᎢ,,,,,"Mississippian earthen platform mound in central Macon county on Little Tennessee River, center of present-day Franklin. Site of treaty negotiations between the Cherokee and Alexander Cuming in 1730. Col. James Grant turned the townhouse on top of the mound into a field hospital during his 1761 military campaign against the Cherokee Middle Towns. Unlike most other Cherokee mounds, it has never been excavated. Macon County Historical Society purchased the site in 1946 after threats of development, and deeded it to the town of Franklin. In 2019 Franklin transferred ownership of the mound to the Nikwasi Initiative, a partnership among the Eastern Band of Cherokee Indians, Mainspring Conservation Trust, and town of Franklin. It is now part of the Cherokee Cultural Corridor.",nct:NativeAmericanSettlement,Macon County,"35.1849402408989, -83.3735328479001",Corinne Foster,,"Duncan and Riggs, Cherokee Heritage Trails Guidebook; Steere, “Revisiting Platform Mounds and Townhouses in the Cherokee Heartland""; Nikwasi Initiative "
NCG10878,Nolichucky River,,https://www.wikidata.org/wiki/Q1775363,,,,"is formed on the Mitchell-Yancey county line by the junction of Toe River and Cane River. It flows N and W along the county line and into Tennessee, where it enters the French Broad River. Nolichucky is said to beh the anglicized version of the Cherokee word ""Nana-tu-gluncky"" which translation could mean ""spruce tree place"" or ""rushing waters"".",nct:River,Yancey County|Mitchell County,,William Powell,Griffin Powell,https://nolichuckyarchaeology.wordpress.com/2013/05/24/cherokee-settlement-patterns-along-the-nolichucky-river/
,Notley Mound,,,,,,"Mississippian earthen platform mound on Nottely River, SW Cherokee County. Townhouse site for historic Cherokee town of Notley (Naduhli). Excavated and destroyed in the 20th century.",nct:NativeAmericanSettlement,Cherokee County,,Corinne Foster,,"Steere, “Revisiting Platform Mounds and Townhouses in the Cherokee Heartland"""
NCG11027,Nottoway River,,https://www.wikidata.org/wiki/Q7063766,,,,"rises in Virginia and flows SE into Hertford County, where it joins Blackwater River on the Gates-Hertford county line to form Chowan River. Nottoway, meaning ""adders"" or ""rattlesnakes,"" was a name applied by Algonquian neighbors to Indians in the area. The name Nataway River appears on the Ogilby map, 1671, intended for the river but mistakenly applied to the present Wiccacon River. See also Weyanoke Creek.",nct:River,Chowan County,,William Powell,Griffin Powell,https://www.doe.virginia.gov/instruction/history/virginias-first-people/today/nottoway-of-virginia/index.shtml
,Nununyi,ᏅᏅᏁᏱ|Nunnunyi|Nvnvnyi|Nuanha|Newni|Potato Town,https://www.wikidata.org/wiki/Q18155226 ,,,,"historic Cherokee Out town on Oconaluftee River at Raven Creek, W Swain County. Its name, ᏅᏅᏁᏱ (Nvnvneyi), means “wild potato place.”",nct:NativeAmericanSettlement,Swain County,"35.50940294652931, -83.29865722037343",Corinne Foster,,"Handbook of American Indians North of Mexico; Townsend, Griffin, and Sampeck, “Archaeology, Historical Ruptures, and Ani-Kitu Hwagi Memory and Knowledge"""
,Nununyi Mound,,https://www.wikidata.org/wiki/Q18155226,,,,"Mississippian earthen platform mound on Oconaluftee River, W Swain County. Townhouse site for historic Cherokee town of Nununyi. It has been damaged from excavations and construction projects in the 19th and 20th centuries.",nct:NativeAmericanSettlement,Swain County,"35.50940294652931, -83.29865722037343",Corinne Foster,,"Steere, “Revisiting Platform Mounds and Townhouses in the Cherokee Heartland"""
,Oak Grove Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Ocanahowan,,,,,,See Chawwone,nct:Town,Hertford County|Bertie County,,Jonah Lewis,Griffin Powell,https://scholarworks.wm.edu/cgi/viewcontent.cgi?article=5481&context=etd
,Occaneechi Island,,,,,,key trading location in the piedmont exchange between the native americans and the english colonist living in the coastal plane. ,nct:Island,Alamance County,,Jonah Lewis,Griffin Powell,https://scholarworks.wm.edu/cgi/viewcontent.cgi?article=5481&context=etd
,"Occoneechee Mountain State Natural Area",,https://www.wikidata.org/wiki/Q7075722,,,,"a mountain state natural area in Orange County, North Carolina, named for the Occaneechi Indian tribe which lived in the Piedmont Region of North Carolina & Virginia",nct:Park,Orange County,,Griffin Powell,,https://www.ncpedia.org/occaneechi-indians
,Oconaluftee Archeological District,,https://www.wikidata.org/wiki/Q7076601,,,,"Formerly a historic Cherokee village site, followed by an Appalachian community, were located at this site along the Oconaluftee River.",nct:HistoricalSite,Swain County,,Griffin Powell,Jonah Lewis,
NCG11104,Ocracoke Island,,https://www.wikidata.org/wiki/Q16508281,http://id.loc.gov/authorities/names/n98109320,http://id.worldcat.org/fast/1288049,http://viaf.org/viaf/sourceID/LC%7Cn++98109320#skos:Concept,"community on Ocracoke Island, SE Hyde County. Settled in the seventeenth century. The name Ocracoke seems originally to have been Wococon, which appeared first on the White map, 1585. The Indian word apparently was waxkahikani, meaning ""enclosed place,"" ""fort,"" or ""stockade,"" and it is believed that a fortified Indian village existed at the site. By 1676 the name Okok was used, and by 1709 it had developed into Occacock. See also Wococon Island.",nct:Island,Hyde County,,William Powell,,https://www.outerbanks.com/ocracoke.html
,Ocracoke Township ,Wokokon|Woccocok|Okacock|Okercock,https://www.wikidata.org/wiki/Q6030679,,,,"township in North Carolina, United States. The earliest record of the island’s name appeared on a map created by the English explorer John White in the year 1585, designates the island as “Wokokon.” With time the spellings changed to “Woccocock,” “Oakacock” and “Okercock.” The name is believed to derive from the Woccon tribe of Native Americans, who lived in the mainland tidewater basin near the island and established fishing and hunting outposts on the island itself.",nct:Township|nct:Island,Hyde County,,Griffin Powell,,"https://ocracokeguide.com/history#:~:text=The%20earliest%20record%20of%20the,mainland%20tidewater%20and%20established%20fishing"
NCG11125,Ogreeta,,https://www.wikidata.org/wiki/Q65053998,,,,"an unncorporated community in W Cherokee County on Hiwassee Lake between the mouth of Chambers Creek and Grape Creek.""Ogreeta"" most likely is a name derived from an unidentified Native American language; the meaning is unknown.",nct:Community,Cherokee County,,William Powell,Griffin Powell,https://web.archive.org/web/20190703220903/https://www.cherokeecountychamber.com/community-backstory//
,Old Locklear Family Cemetery,,,,,,a Native American cemetery in Scotland County.,nct:BurialGround,Scotland County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Old Main,,,,,,"oldest surviving building of The University of North Carolina at Pembroke, in Robeson County. Built in 1923.",nct:HistoricalSite,Robeson County,,Kaylin Blount,,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318.|https://dlib.uncp.edu/digital/collection/lumbee/id/56/rec/1"
,Old Meherrin Town,,,,,,"may be the Chowanoke village of Ramashonok and the site may hold clues as to how the Meherrin's lost their reservation. this was a villiage of the Meherrin, an Iroquoian tribe,between 1685-1727, on the Meherrin River 2 1/2 miles north of US 158 at SR 1175. The exact location of the village remains a mystery, but a rough idea was etablished from written records. The Meherrin in this area fought against the Tuscarora in the Tuscarora War(1711-1715). following this in the 1720s white settlers pushed natives off the land and by the 1750s their numbers were drastically reduced.",nct:NativeAmericanSettlement,Hertford County,,Jonah Lewis,Griffin Powell,https://scholarworks.wm.edu/cgi/viewcontent.cgi?article=5481&context=etd
,Oliphants Mill,,https://www.wikidata.org/wiki/Q1801020,,,,"was a grist mill that served early settlers during the Revolutionary War. Oliphant fled the mill in response to attacks from Cherokee tribes in 1758, during the French and Indian War. The site now lies beneath Lake Norman.",nct:Lake|nct:HistoricalSite|nct:Mill,Rowan County,,Griffin Powell,,https://davidsonarchivesandspecialcollections.org/archives/community/under-lkn/oliphants-mill
NCG11277,Orrum,Big Branch (former),,http://id.loc.gov/authorities/names/no2015147765,,http://viaf.org/viaf/sourceID/LC%7Cno2015147765#skos:Concept,"town in S Robeson County. Settled as early as 1832 as a community around Big Branch Church. Inc. 1903. Orton was the first choice for a name in 1903 when a post office was about to be est., but as the name was already in use in Columbus County, it was rejected. Orrum was coined as a variant of Orton. Orrum (originally named Big Branch) was, as early as 1832, the site of Big Branch Baptist Church. Lewis Lawson, who owned extensive property in the vicinity of Orrum, donated the
site on which the Orrum depot was built. Lawson also gave the if name ""Orrum"" to this town in 1900, the year when the first railroad came through. Orrum's Stinceon Institute, opened by Mn. Shepherd in 1902, was the first rural high school in lower Robeson County. It was named in honor of Stinceon Ivey, who taught Shepherd at the Ashpole Academy, in present Fairmont, in 1886",nct:Town,Robeson County,,Harvey Maynor,,"Mclean, D. and M. R. Sellon. “Documentary Research of the Lumber River Basin.” (1978)."
,Oscar Chavis Family Cemetery,,,,,,a Native American cemetery in Robeson County. The graves have since been moved for Highway 74.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Oxendine Cemetery,Sandcutt Cemetery,,,,,Lumbee cemetary.,nct:BurialGround,Robeson County,,Kaylin Blount,,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318."
,Oxendine Cemetery (Oakgrove),,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Oxendine Cemetery (Saddletree),,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Oxendine Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
NCG11418,Pamlico County,,https://www.wikidata.org/wiki/Q507616,http://id.loc.gov/authorities/names/n82042567,http://id.worldcat.org/fast/1219086,http://viaf.org/viaf/sourceID/LC%7Cn++82042567#skos:Concept,"was formed in 1872 from Craven and Beaufort Counties. Located in the E section of the state, it is bounded by Pamlico Sound, Neuse River, and by Craven and Beaufort Counties. It was named for Pamlico Sound. Area: 576 sq. mi. (341, land; 235, water). County seat: Bayboro, with an elevation of 8.5 ft. Townships are nos. 1-5. Produces corn, soybeans, Irish potatoes, turkeys, hogs, and processed seafood. The name of the county originates from the Pamlico Indians whom lived in the area during the time of colonization.",nct:County,Pamlico County,,William Powell,Griffin Powell,https://www.ncpedia.org/geography/pamlico
NCG11420,Pamlico River,Pamticoe River,https://www.wikidata.org/wiki/Q841766,,,,"is the lower course of Tar River after it enters Beaufort County. It flows SE for 33 mi. before emptying into Pamlico Sound. Explored in 1584 by Arthur Barlowe and called Cipo River, for sipowi, the local Indian word for river. Appears as Pamptico River on the Comberford map, 1657, and as Pamticough River on the Moll map, 1729. Named for the Pamlico Indians in the area. Bonds Ferry appears on the Collet map, 1770, as crossing the Pamlico River on the road from Bath to New Bern.",nct:River,"
Beaufort County",,William Powell,Griffin Powell,https://dc.lib.unc.edu/cdm/ref/collection/ncmaps/id/467
NCG11510,Pasquotank County,,https://www.wikidata.org/wiki/Q507438,http://id.loc.gov/authorities/names/n82074115,http://id.worldcat.org/fast/1220121,http://viaf.org/viaf/sourceID/LC%7Cn++82074115#skos:Concept,"was formed by 1681 as a precinct of Albemarle County. Located in the NE section of the state, it is bounded by Albemarle Sound and by Perquimans, Gates, and Camden Counties. Area: 290 sq. mi. (229, land; 61, water). County seat: Elizabeth City, with an elevation of 12 ft. Townships are Elizabeth City, Mount Hermon, Newland, Nixonton, Providence, and Salem. Produces corn, soybeans, potatoes, cabbage, miscellaneous vegetables, cotton, hogs, livestock, textiles, ships, lumber, hosiery, apparel, paper boxes, and industrial machinery. county in North Carolina, United States. It was named after the Pasquotank Indians whom lived in the area; the Native American word pásk-e'tan-ki means ""where the current divides or forks.""",nct:County,Pasquotank County,,William Powell,Griffin Powell,https://www.ncpedia.org/geography/pasquotank
NCG11511,Pasquotank River,Paspatank Tiver,https://www.wikidata.org/wiki/Q7142359,https://id.loc.gov/authorities/subjects/sh85098449.html,,https://viaf.org/viaf/315526774/,"rises in NW Camden County and flows SE to form the Camden-Pasquotank county line until it enters Albemarle Sound. An Indian village, Pasquenoke, is shown in the area on the De Bry map, 1590. Appears as Pacequenock on the Blaeu map, 1640, and as Prascantanck River on the Comberford map, 1657. The Intracoastal Waterway enters Pasquotank River through Dismal Swamp Canal. See also Shipyard.",nct:River,Camden County,"36°9'26"", 76°1'51""",William Powell,Madeline Miller,https://docsouth.unc.edu/nc/lawson/lawson.html
,Pates Store,Pembroke (later),,,,,See Pembroke.,nct:Reference,Robeson County,,Kaylin Blount,,https://dlib.uncp.edu/digital/collection/lumbee/id/56/rec/1
,Peachtree Mound,,,,,,"Mississippian earthen mound on Hiwassee River, SE Cherokee County. Townhouse site for historic Cherokee town of Hiwassee. Excavated by the Smithsonian in 1933.",nct:NativeAmericanSettlement,Cherokee County,"35.07762080455806, -83.98019841428898",Corinne Foster,,"Steere, “Revisiting Platform Mounds and Townhouses in the Cherokee Heartland"""
,Pee Dee Chapel Baptist Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
NCG11600,Pee Dee River,Great Pee Dee River,https://www.wikidata.org/wiki/Q2061230,,,,"is formed by the junction of the Yadkin and Uwharrie Rivers in Montgomery County. It flows S along the Stanly-Montgomery and Anson-Richmond county lines into South Carolina, where it empties into Winyah Bay. Also known as Great Pee Dee River.  Named for the Pee Dee Indian Tribe that lived on the boundaries of the river in North Carolina & South Carolina - only in South Carolina does this tribe continue to live on the river. It may also be named for the Catawba Indian word pi'ri (something good) or pfhere (smart; expert; capable). ",nct:River,Anson County|Richmond County|Montgomery County|Stanly County,,William Powell,Griffin Powell,https://www.ncpedia.org/rivers/yadkin-pee-dee
NCG11621,Pembroke,Scuffletown (formerly)|Pates Store (formerly),https://www.wikidata.org/wiki/Q930141,http://id.loc.gov/authorities/names/n83030464,https://www.worldcat.org/identities/lccn-n83030464,https://viaf.org/viaf/139589399,"town in W central Robeson County. Alt. 172. Inc. 1895. Originally called Campbell's Mill on Waterhole Swamp; later, Scuffletown, after Scoville Town in England or because it was a good place to get into a fight. Today, it is center of Lumbee Indian business and social life. Named for Pembroke Jones (1825-1910), an official of the Wilmington and Weldon Railroad, which intersected the Wilmington, Charlotte, and Rutherford Railroad there. Home of the University of North Carolina at Pembroke, founded in 1887.",nct:Town,Robeson County,"34.681944444444,-79.195833333333",William Powell,Kaylin Blount,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318.|Lowery, M. Maynor. (2010). Lumbee Indians in the Jim Crow South: race, identity, and the making of a nation. Chapel Hill: University of North Carolina Press."
,Pembroke Indian High School,,,,,,a Native American high school in Robeson County.,nct:EducationalInstitution,Robeson County,,Kaylin Blount,,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318."
,Pembroke State College,Croatan Normal School (formerly)|Indian Normal School of Robeson County (formerly)|Cherokee Indian Normal School of Robeson County (formerly)|Pemboke State College for Indians (formerly)|Pembroke State University (later)|The University of North Carolina at Pembroke (later),,,,,See The University of North Carolina at Pembroke.,nct:Reference,Robeson County,,Kaylin Blount,,https://www.uncp.edu/about/history
,Pembroke State College for Indians,Croatan Normal School (formerly)|Indian Normal School of Robeson County (formerly)|Cherokee Indian Normal School of Robeson County (formerly)|Pembroke State College (later)|Pembroke State University (later)|The University of North Carolina at Pembroke (later),,,,,See The University of North Carolina at Pembroke.,nct:Reference,Robeson County,,Kaylin Blount,,https://www.uncp.edu/about/history
,Pembroke State University,Croatan Normal School (formerly)|Indian Normal School of Robeson County (formerly)|Cherokee Indian Normal School of Robeson County (formerly)|Pemboke State College for Indians (formerly)|Pembroke State College (formerly)|The University of North Carolina at Pembroke (later),,,,,See The University of North Carolina at Pembroke.,nct:Reference,Robeson County,,Kaylin Blount,,https://www.uncp.edu/about/history|https://www.uncp.edu/about/history
,Pentecostal Church Of Christ,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
NCG11661,Perquimans County,,https://www.wikidata.org/wiki/Q201014,http://id.loc.gov/authorities/names/n80125633,http://id.worldcat.org/fast/1210254,http://viaf.org/viaf/sourceID/LC%7Cn++80125633#skos:Concept,"was formed by 1679 as Berkeley Precinct in Albemarle County. Located in the NE section of the state, it is bounded by Albemarle Sound and by Chowan, Gates, and Pasquotank Counties. It was named for Indians in the vicinity. The legislature met there, 1707-16. Area: 324 sq. mi. (261, land; 63, water). County seat: Hertford, with an elevation of 15 ft. Townships are Belvidere, Bethel, Hertford, New Hope, Winfall, and Parkville. Produces corn, soybeans, peanuts, cotton, hogs, livestock, apparel, sorghum, truck bodies, and sand.",nct:County,Perquimans County,,William Powell,Griffin Powell,https://www.ncpedia.org/geography/perquimans
,Petty's Shore,,,,,,"located on the west bank of the Chowan, 1.5 miles South of the mouth of the Meherrin River. a large amount of aborignal materials belonging to native tribes, likely the Meherrin, have been uncovered here.",nct:Beach,Hertford County,,Jonah Lewis,Griffin Powell,https://scholarworks.wm.edu/cgi/viewcontent.cgi?article=5481&context=etd
NCG11722,Philadelphus Township,,https://www.wikidata.org/wiki/Q21261498,,,,Lumbee community in W central Robeson County.,nct:Township,Robeson County,"34.759,-79.172",William Powell,Kaylin Blount,"Lowery, M. Maynor. (2010). Lumbee Indians in the Jim Crow South: race, identity, and the making of a nation. Chapel Hill: University of North Carolina Press.|https://dlib.uncp.edu/digital/collection/lumbee/id/56/rec/1"
,Piney Grove Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Pleasant Grove UMC Cemetery,,,,,,a Native American cemetery in Robeson County. Grave site of the Allen Lowry family.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Pleasant View Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Preston Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
NCG12266,Prospect,,https://www.wikidata.org/wiki/Q2027382,http://id.loc.gov/authorities/names/no2007119420,,https://viaf.org/viaf/144629236,Lumbee community in NW Robeson County.,nct:Community,Robeson County,"34.729166666667,-79.220833333333",William Powell,Kaylin Blount,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318.|Lowery, M. Maynor. (2010). Lumbee Indians in the Jim Crow South: race, identity, and the making of a nation. Chapel Hill: University of North Carolina Press.|https://dlib.uncp.edu/digital/collection/lumbee/id/56/rec/1"
,Prospect School,,,,,,a Native American school in Robeson County.,nct:EducationalInstitution,Robeson County,,Kaylin Blount,,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318."
,Prospect United Methodist Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
NCG12305,Pungo River,Machapunga River|Pongo River,https://www.wikidata.org/wiki/Q7260175,,,,"rises in East Dismal Swamp, Washington County, and flows generally se, forming the Beaufort-Hyde county line into Pamlico River near its mouth. Appears as Machapounga River on the Comberford map, 1657, and as Machaponga on the Moseley map, 1733, and other maps until 1807, when it appears, apparently for the first time, as Pungo River on the William Tatham map. Named for the Machapunga Indians, whose name is said to have meant ""bad dust"" or ""much dust.""",nct:River,"
Beaufort County",,William Powell,Griffin Powell,https://dc.lib.unc.edu/cdm/ref/collection/ncmaps/id/467
NCG12340,Qualla,Kwalunyi,,,,,"community in NW Jackson County on Shoal Creek. It was called ""Indian town"" in the early 19th century and renamed Quallatown when the post office was established in 1839. It was named after Kwali (Polly), a Cherokee elder who lived there. Alt. 2,250.",nct:Community,Jackson County,"35.435303791690835, -83.32301772565633",William Powell,Corinne Foster,"Duncan and Riggs, Cherokee Heritage Trails Guidebook; Mooney, Myths of the Cherokee"
,Quanasee,Quanassee|Quanasi|Qunassee|Spikebuck Town,https://www.wikidata.org/wiki/Q16900428,,,,"historic Cherokee Valley town on Hiwassee River, W central Clay County. Destroyed by Griffith Rutherford’s army in the Cherokee War of 1776. The town served as a gathering place for Cherokee during removal in the 1830s, and today is the site of Hayesville.",nct:NativeAmericanSettlement,Clay County,"35.04252706941337, -83.806120846174",Corinne Foster,,"Goodwin, Cherokees in Transition; Dean, The Cherokee War of 1776; Duncan and Riggs, Cherokee Heritage Trails Guidebook"
NCG12409,Raft Swamp Township,,,,,,Lumbee township in central Robeson County.,nct:Township,Robeson County,,William Powell,Kaylin Blount,"Lowery, M. Maynor. (2010). Lumbee Indians in the Jim Crow South: race, identity, and the making of a nation. Chapel Hill: University of North Carolina Press.|https://dlib.uncp.edu/digital/collection/lumbee/id/56/rec/1"
,Raudauquaquank,,,,,,"""a small river in Craven County which flows between the Pamlico and Neuse rivers. The... native[s] to the area were simply known as the Bay or Bear River Indians but may have actually been a part of the Pamlico Tribe. John Lawson... noted the Bay or Bear Rivers Indians lived in a single village known as 'Raudauquaquank'...having approximately fifty warriors.""",nct:River,Craven County,,Jonah Lewis,Griffin Powell,
,Raudauquaquank,,https://www.wikidata.org/wiki/Q16115482,,,,"John Lawson documented the Bay or Bear River Indians as living in a single village of about 50 warriors, called Raudauquaquank.",nct:NativeAmericanSettlement,Craven County,,Madeline Miller,,"Reynolds, K. (2010). Native North Carolina: The what, why and where of Native American place names. Boone, N.C.: Parkway Publishers."
,Raynham Indian Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Red Banks,,https://www.wikidata.org/wiki/Q7303701,,,,"Lumbee community in Robeson County, located north of Pembroke.",nct:Community,Robeson County,"34.7031,-79.2508",Kaylin Blount,,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318.|Lowery, M. Maynor. (2010). Lumbee Indians in the Jim Crow South: race, identity, and the making of a nation. Chapel Hill: University of North Carolina Press."
NCG12575,Red Springs,Dora (former),http://www.wikidata.org/entity/Q2026256,http://id.loc.gov/authorities/names/n83030466,http://id.worldcat.org/fast/1224415,http://viaf.org/viaf/sourceID/LC%7Cn++83030466#skos:Concept,"town in N Robeson County. Alt. 204. Inc. 1896 but settled much earlier. At the site of former Flora MacDonald College there, Vardell Hall, a school for girls, was est. in 1964 and operated for 10 years. The town was named for the color of spring and well water there, which was red because of iron oxides. Known first as Dora but changed to Red Springs in 1885. Formerly a popular health resort. Produces textiles, fertilizer, and lumber products.",nct:Town,Robeson County,,William Powell,Harvey Maynor,
,Red Springs Mound No.1,"Reds Springs Mound Rb°4, Reds Springs Mound 31 Rb 2",,,,,"""A Native Americna burial mound documented as being located ""located about 2 miles southeast of Red Springs"" and containing ""15 bone samples, charcoal samples, projectile point, chips and potsherds""",nct:Burial Mound,Robeson County,,Harvey Maynor,,"
North Carolina Archaeology (formerly Southern Indian Studies) Vol. 22"
,Red Springs Mound No.2,Rb v 4: McMillnn Mound,,,,,"A Native American burial mound documented as being located ""located about two miles east of Red Springs""  and containing ""about 50 skeletons. Many of these bones near the surface of the mound""",nct:Burial Mound,Robeson County,,Harvey Maynor,,"HOLMES, J. A. “NOTES ON THE INDIAN BURIAL MOUNDS OF EASTERN NORTH CAROLINA.” Journal of the Elisha Mitchell Scientific Society, vol. 1, 1883, pp. 73–79. JSTOR, www.jstor.org/stable/24330058."
,Red Springs Mound No.3,"31 Rb 4, Buie Mound",,,,,"A Native American burial mound documented as being located ""Red Springs Airport site. Located 2 miles SSW of Red Sprinos, owned by S. T. Buie."" NOTE: Site is a charnel mound, and has been excavated by the following: Jeffrey Gordon, Pembroke State University; Dr. Bennie Keel, University of North Carolina at Chapel Hill; Dr. J. Ned Woodall, Wake Forest University; Dr. David A. McLean, St. Andrews College. The University of North Carolina at Chapel Hill registered Rb v 4 as the McMillan Mound, 21 miles east of Red Springs. Later, Bennie Keel reported Buie Mound as the same as the * McM Illan Mound. This error has not been corrected in the site files of the University of North Carolina at Chapel Hill. In this report, 31 Rb 4 uill refer to the Buie Mound, while Rb v 4 will refer to the McMillan Mound.",nct:Burial Mound,Robeson County,,Harvey Maynor,,"Mclean, D. and M. R. Sellon. “Documentary Research of the Lumber River Basin.” (1978)."
,Red Springs Mound No.4,31 Rb v 5,,,,,"A Native American burial mound documented as being located ""located 2 1/2 miles south of Red Springs, near
airport. "" and containing ""chips and sherds."" Alternate ID is give via the St. Andrews system reference name",nct:Burial Mound,Robeson County,,Harvey Maynor,,"Mclean, D. and M. R. Sellon. “Documentary Research of the Lumber River Basin.” (1978)."
,Red Springs Mound No.5,Rb v 6,,,,,"A Native American burial mound documented as being located ""located across airport from Rb v 5, on Buie land."" Alternate ID is give via the St. Andrews system reference name",nct:Burial Mound,Robeson County,,Harvey Maynor,,"Mclean, D. and M. R. Sellon. “Documentary Research of the Lumber River Basin.” (1978)."
,Red Springs Mound No.6,Rb v 7,,,,,"A Native American burial mound documented as being located ""located 3.3 miles south of Red Springs on NC 71"" and containing ""points and pottery."" Alternate ID is give via the St. Andrews system reference name",nct:Burial Mound,Robeson County,,Harvey Maynor,,"Mclean, D. and M. R. Sellon. “Documentary Research of the Lumber River Basin.” (1978)."
,Red Springs Mound No.7,Rb v 22,,,,,"A Native American burial mound documented as being located ""located in field south of junction of SR 1321
and NC 71 near Red Springs. "" Alternate ID is give via the St. Andrews system reference name",nct:Burial Mound,Robeson County,,Harvey Maynor,,"Mclean, D. and M. R. Sellon. “Documentary Research of the Lumber River Basin.” (1978)."
,Red Springs Mound No.8,Rb v 23,,,,,"A Native American burial mound documented as being located ""located north of NC 1320, .3 mile west of intersection of SR 1320 and 1321, west of Red Springs. "" Alternate ID is give via the St. Andrews system reference name",nct:Burial Mound,Robeson County,,Harvey Maynor,,"Mclean, D. and M. R. Sellon. “Documentary Research of the Lumber River Basin.” (1978)."
,Red Springs Mound No.9,Rb v 31,,,,,"A Native American burial mound documented as being located ""located at center of field southeast of junction
of SR 1506 and 1500."" Alternate ID is give via the St. Andrews system reference name",nct:Burial Mound,Robeson County,,Harvey Maynor,,"Mclean, D. and M. R. Sellon. “Documentary Research of the Lumber River Basin.” (1978)."
